ID,ISSUE_DATE,PERMIT_TYPE,LATITUDE,LONGITUDE, ESTIMATED_COST ,ISSUE_YEAR,Min_Cost
2831739,6/30/2017,PERMIT - NEW CONSTRUCTION,41.89327026,-87.62156655,"$57,730,480.00 ",2017,875407.73
2924106,6/13/2018,PERMIT - NEW CONSTRUCTION,41.88747343,-87.61822833,"$58,084,500.00 ",2018,9.00E+05
2872009,10/26/2017,PERMIT - NEW CONSTRUCTION,41.92474121,-87.64756347,"$63,400,000.00 ",2017,875407.73
2830439,6/7/2017,PERMIT - NEW CONSTRUCTION,41.86739788,-87.62270051,"$64,000,000.00 ",2017,875407.73
2940964,5/15/2018,PERMIT - NEW CONSTRUCTION,41.78591394,-87.59622981,"$65,000,000.00 ",2018,9.00E+05
2801276,1/18/2017,PERMIT - NEW CONSTRUCTION,42.0085364,-87.91442844,"$70,000,000.00 ",2017,875407.73
2851277,8/29/2017,PERMIT - NEW CONSTRUCTION,42.0085364,-87.91442844,"$70,000,000.00 ",2017,875407.73
2909687,1/16/2018,PERMIT - RENOVATION/ALTERATION,41.78932932,-87.74164564,"$70,000,000.00 ",2018,9.00E+05
2832729,7/13/2017,PERMIT - NEW CONSTRUCTION,41.86917472,-87.62523732,"$75,000,000.00 ",2017,875407.73
2800270,2/10/2017,PERMIT - NEW CONSTRUCTION,41.79350627,-87.58575578,"$85,600,000.00 ",2017,875407.73
2828603,3/3/2017,PERMIT - NEW CONSTRUCTION,41.90331113,-87.6346058,"$90,000,000.00 ",2017,875407.73
2814329,4/18/2017,PERMIT - NEW CONSTRUCTION,41.88338658,-87.65339165,"$95,000,000.00 ",2017,875407.73
2823716,5/12/2017,PERMIT - NEW CONSTRUCTION,41.8874644,-87.61786023,"$100,000,000.00 ",2017,875407.73
2839093,11/13/2017,PERMIT - NEW CONSTRUCTION,41.91064557,-87.67420059,"$100,000,000.00 ",2017,875407.73
2862368,12/28/2017,PERMIT - RENOVATION/ALTERATION,41.87289177,-87.63373989,"$100,000,000.00 ",2017,875407.73
2912928,5/11/2018,PERMIT - RENOVATION/ALTERATION,41.87289177,-87.63373989,"$100,000,000.00 ",2018,9.00E+05
2931430,6/29/2018,PERMIT - NEW CONSTRUCTION,41.88749672,-87.64802082,"$100,000,000.00 ",2018,9.00E+05
2887200,5/8/2018,PERMIT - NEW CONSTRUCTION,41.88296896,-87.65121974,"$103,500,000.00 ",2018,9.00E+05
2818525,7/24/2017,PERMIT - NEW CONSTRUCTION,41.86499953,-87.62424301,"$119,145,000.00 ",2017,875407.73
2763678,1/27/2017,PERMIT - NEW CONSTRUCTION,41.88167803,-87.64672119,"$136,000,000.00 ",2017,875407.73
2837349,8/30/2017,PERMIT - NEW CONSTRUCTION,41.88167803,-87.64672119,"$141,000,000.00 ",2017,875407.73
2919644,5/3/2018,PERMIT - NEW CONSTRUCTION,41.88167803,-87.64672119,"$141,000,000.00 ",2018,9.00E+05
2828802,7/3/2017,PERMIT - NEW CONSTRUCTION,41.87171755,-87.62431278,"$160,000,000.00 ",2017,875407.73
2833728,10/4/2017,PERMIT - RENOVATION/ALTERATION,41.87856015,-87.63652387,"$200,000,000.00 ",2017,875407.73
2862344,8/24/2017,PERMIT - RENOVATION/ALTERATION,41.87988544,-87.6292116,"$208,661,000.00 ",2017,875407.73
2778138,7/28/2017,PERMIT - NEW CONSTRUCTION,41.86739788,-87.62270051,"$225,000,000.00 ",2017,875407.73
2891091,2/20/2018,PERMIT - NEW CONSTRUCTION,41.88780562,-87.63682821,"$350,000,000.00 ",2018,9.00E+05
